Titulos,Dia,Mes,Año
Marcan a Dos Bocas denuncias y protestas,30,11,2019
Enfrenta el Tren Maya rechazo ambientalista,30,11,2019
Chocan vecinos por ampliación de la MB-3 ,30,12,2019
Van los Zapatistas contra Tren Maya,2,1,2020
Prometen cambiar trazo de gasoducto,5,1,2020
Dan amparo en el caso río Sonora,16,1,2020
Quitan vecinos maquinaria para obras del Cablebús,22,1,2020
Atiende CDH queja vecinal por invasión del Cablebús 1,24,1,2020
Reactivan protestas contra Constellation,27,1,2020
Polemizan en amparo por Tren,29,1,2020
Morir por el medio ambiente,9,2,2020
Suspende jueza obras en tramo de Tren Maya,5,3,2020
Respaldan consulta sobre Constellation,13,3,2020
Paraíso dejó de serlo,15,3,2020
Protestan vecinos contra MB-3,18,3,2020
Recopilan firmas contra Tren Maya,18,3,2020
Enfrenta cervecera panorama adverso,23,3,2020
Clausura tras consulta,24,3,2020
